source,evmTokenAddress,evmReceiverAddress,formattedAmount,amount,sudtArgs,burnTxHash,transferTxHash
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.029211 ETH|eth,29211000000000000,0x9cfc1339d0b730258d517db6fbf29d091e0aec807eb8b79d99ecbb86bfac3574,0x5bcd16a09ebe481d8d399bb53b0cae77a8d4721a85ab356ed72fcdd0b7f19f86,
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.031711 ETH|eth,31711000000000000,0x9cfc1339d0b730258d517db6fbf29d091e0aec807eb8b79d99ecbb86bfac3574,0xc4ebf98e415074b79bcf7b6dfe98116d629aff51f3b4a90728660cdfadb477d2,
BSC,0x337610d27c682E347C9cD60BD4b3b107C9d34dDd,0x063094ae5d4cbe7b785b33e980486f72f2d2a474,120000000.0 Test|bsc,12000000000000000,0x5dd2d06132247e6ec70d3094825a7b2b30e3b69d10bdbfbbb3ae571d88b8ab98,0x70fffc324f69970b4aaaa30de47b89e1928cdd55b1117cfadcce3a7fd2d9552c,
Ethereum,0x0000000000000000000000000000000000000000,0x063094ae5d4cbe7b785b33e980486f72f2d2a474,0.0056 Test_2|eth,5600000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x70fffc324f69970b4aaaa30de47b89e1928cdd55b1117cfadcce3a7fd2d9552c,
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.0157 Test_2|eth,15700000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x93099bf7baccd64dcd7b190af5d2cf5ddbfc31eb71c18306d7b540b2bc7daaeb,
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.0000156 Test_2|eth,15600000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x62579cf789f7cd31d921e557074f267108e53c316794b9da596b1b1fc7f95eb3,
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.00198 Test_2|eth,1980000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x40885bccbf5b27a780647a11f93629b3784625d7627d19abded3f81c81806818,
Ethereum,0x0000000000000000000000000000000000000000,0x234e2f5720ded49ea4ccd25eb7e18e659fc7c5ff,0.000523 Test_2|eth,523000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x1d2b7ab5ad1146419359e6e09ce79491c752c45aa330277f363a05cf898a3db1,
Ethereum,0x0000000000000000000000000000000000000000,0xf8b1a30fdb0c1d34809f906774caff2e4086a05a,0.000256 Test_2|eth,256000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x45c84a590284794d0d90ecaa316c21c3cdbd47636ae9f4e24911eabf69516964,
Ethereum,0x0000000000000000000000000000000000000000,0xf8b1a30fdb0c1d34809f906774caff2e4086a05a,0.000000157 Test_2|eth,157000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0xfda39c06108e09dcbfb4bbf5e275406c8058c2d5ebd2a007af80cafa748a4326,
Ethereum,0x0000000000000000000000000000000000000000,0xf8b1a30fdb0c1d34809f906774caff2e4086a05a,0.00000012569 Test_2|eth,125690000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0xe57ad1e616e6a0dfc372387bcd3377749cc87bb415f819837ffa34eb175e630c,
Ethereum,0x0000000000000000000000000000000000000000,0xf8b1a30fdb0c1d34809f906774caff2e4086a05a,0.001222 Test_2|eth,1222000000000000,0x5388412a30e8bc24fe3ea6f826fcccd8132c9ae0bd35e71c24ca2ae51d5de142,0x7b9e52a0c371e0667ffa6300b12e993621cb7e0ceea64f82fd745cf4fc527c54,
